reviewer_ID,product_ID,rating
A34OOTHKCXXG45,B004BDMP8M,2.0
A3URYABIDXKQ7H,B0043M5YDE,5.0
A3B7XEPJVSWTPX,B0003WN0CA,5.0
AP5UCJDDDSZCX,B004C8QE2E,5.0
A2D4ZVYL5G38N1,B002O3W4LE,5.0
A3DWD90YKN6IIV,B000P6LA62,5.0
A28RJXRCOL3Q0N,B000P86RMC,3.0
A1IH2S5MK1AVGW,B004CNKBNW,4.0
A1LGWLBBUYFBI9,B000H1F9IA,1.0
A2FYRKF4BKK4N3,B0000V6DHI,3.0
A3R1Z26C7LQ1P5,B000069UZA,1.0
AG7ASFB6736SP,B001PLII3E,5.0
A2MHTCLB4TQL47,B00B5DJBYW,2.0
A3JJK7JFC9LT3W,B000H143ZK,3.0
AMW7PPN5F2B2U,B00275EBH4,4.0
ASRE3O3LM0ASB,B002O3W4LE,5.0
A1ZWX8GX2SI7U7,B007VMZEAG,4.0
A3U8EZC912U5RD,B001J9SFXK,4.0
A28GVKIB7JGHTG,B004EJWEO8,5.0
A35Y8BW90X8M2E,B000VW3YLE,5.0
A515EZNIN2AXR,B005PGP0P4,4.0
A31ZC70NX3WJUI,B005GSYNRM,5.0
A2K34VFFJ4FQRS,B00ATZ9QMO,5.0
A1JA05ZUUQGVNM,B000F78PAA,5.0
A3TB9HNQR54B5V,B000ZHB2HS,5.0
A3XS5DC7JZM8G,B0096ELSEI,5.0
A2N5LD1T7PN64B,B0011UXSHK,1.0
A1D8BX44C80BIR,B001DJ6C2W,1.0
A2Y0GM8RNAXESH,B001EN77E4,5.0
A1YZ1R1GUD7GQB,B005ZSDLNA,2.0
A1O6NZ2KAUYITJ,B00BUV7C9A,5.0
A3GRSBJM9PYMPC,B001E6BCSI,5.0
A39NNW10EY81D3,B007IJS2D8,1.0
A1FLIT8VL70T2S,B00006B8G6,3.0
A37H74Y3BD8Z9O,B007EBG4JE,5.0
A2DDK5GJ0DRAVX,B0014YZ36M,2.0
A2E71VWXO59342,B000B63RIK,5.0
A3TI1D1N4KKXLA,B0027UCUR2,5.0
A1K06NO2MIO87Q,B00006IASZ,5.0
A3A3PFTO1OP1RI,B0056HRKDW,1.0
A30EL7N92HJI8,B004NG5GI8,1.0
A2I9JNEBJOMYCB,B007B5VH0E,1.0
AYCRBU2UUDI7Z,B0001UEH94,5.0
ARWHBHLI1STG5,B0002UM0FG,5.0
A17RR2HM3AY6Q0,B007RJYRGA,5.0
A179X4YD5ZA4C7,B002B9L92Q,5.0
A2ZCNAVD0MNLAE,B000FCP1X4,4.0
A1YWTE62TPCBR2,B001KPR7YG,5.0
A3QL857ALV5RCJ,B002K9M6OW,5.0
AZRVV2TQM9JDG,B000QXASVM,5.0
A1Q4MNIUESQTBM,B007XPBW1G,4.0
A3RVDXHXWXI6K4,B00150KC98,5.0
A3NVOFO03AN4PO,B0001UEHF8,1.0
A2I4S0HM3D91P2,B005IV7P04,5.0
A23QU283QFK74F,B000I3IXLC,2.0
A35D5NXKWQM30R,B000GP14PO,5.0
A3MPYB9FEXOLH9,B003YFHCKY,5.0
A1PJLLYGLTNOER,B005K8AV2Y,5.0
A1661YW3PVSUU2,B002O3W4LE,5.0
A38T6HZ30G4L33,B001BJKO3M,5.0
A2IVN55OSNXKTY,B00A0G8XJ4,5.0
A3MBB54HF71IIP,B000X7MLW0,3.0
A1OYC8P4OOSXUM,B00CQKAESA,2.0
A2HBE1J9X8G2V3,B003ZUXXP6,1.0
A37VM4CWD3IXCS,B0069RY9BY,5.0
A2LK3WB8GPLCWD,B0027IBMQE,4.0
AE3Y01UCDIFBC,B000N2B9KU,4.0
A3N41ME8NSKQ1E,B0000488VU,1.0
AKSH2P4V282D6,B001BQZ2VY,2.0
A2NWNFAWQI4NK1,B008Y8E1XC,5.0
A2D3GO5PG7D7SH,B00CMBXGR4,5.0
A2B4A6GVBVC197,B000JTMCO4,5.0
A2QJK0VG9NOM9B,B0030U9OTK,5.0
A358AG4MJTFVTS,B0013CHS0O,2.0
A2XEDWMVMGC8V3,B0007KVK8E,5.0
A1Q1ZNCHEHIPBW,B00BNYA13S,5.0
A1BPUOLFJXY3GV,B000E95O1M,5.0
A1C1TNVSZAZA4E,B001W36YM2,3.0
A1HRIFPEKS0Z3W,B001RQPHOK,4.0
AJYOJ4OL4MWIC,B001QIM0YE,5.0
A129U9TD3MERKM,B0017VT5XE,5.0
ALZPXUYQ55O4H,B002RZNJRM,5.0
A22QJGUA2OWNNB,B0052YQCGK,5.0
A3BH63GKL7MQ2K,B004VJSFA8,4.0
A26X7LF61HTWC4,B00006IF1J,5.0
A317737Q5DIOBX,B000FSWB9K,5.0
A15RKBTERV7ZQC,B00004WFSC,3.0
A3LCL5L8ZB1XZ2,B003Y3PF6E,4.0
A3H5FZ6LQS3F4H,B001L9CGTW,5.0
A18YHR0BI8GTZ,B001UHM6VS,5.0
A3Q7XZ0M1TO3Y3,B004XEAFAO,5.0
AS0AZUUW792ZV,B000I0TMAG,4.0
A19KGIAU3P7D3K,B000T438EW,3.0
A3VS3CON0UYMC7,B000I8ZULI,4.0
A2T9EMIFA72AM6,B005QAQFFS,5.0
AEWC8B63BHYL8,B00006IEES,1.0
A3FXMPJ6AGRHW7,B000J0B9OW,5.0
A1HQHVJTAQPHP7,B001HN6PBW,5.0
A1SQYZQ9AJMJIZ,B0007KNZ8M,4.0
AL7RGFE9Z7I9F,B00006HYLW,5.0
